num,fecha,clave_edo,estado,clave_mun,municipio,categoria,tipo
105,2016-10-02,13,Hidalgo,13029,Huichapan,Vandalismo en Vía,Obstrucción de Vía
106,2016-10-02,22,Querétaro,22017,Tequisquiapan,Vandalismo al Tren,Cierre de Angulares
107,2016-10-02,22,Querétaro,22017,Tequisquiapan,Vandalismo en Vía,Manipulación de Señales
108,2016-10-02,22,Querétaro,22007,Ezequiel Montes,Vandalismo al Tren,Cierre de Angulares
109,2016-10-02,13,Hidalgo,13029,Huichapan,Vandalismo al Tren,Cierre de Angulares
110,2016-10-02,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
111,2016-10-02,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
112,2016-10-02,11,Guanajuato,11044,Villagrán,Vandalismo al Tren,Cierre de Angulares
113,2016-10-02,30,Veracruz de Ignacio de la Llave,30068,Fortín,Vandalismo al Tren,Cierre de Angulares
114,2016-10-02,13,Hidalgo,13029,Huichapan,Vandalismo en Vía,Obstrucción de Vía
115,2016-10-02,30,Veracruz de Ignacio de la Llave,30044,Córdoba,Vandalismo al Tren,Cierre de Angulares
116,2016-10-02,14,Jalisco,14070,El Salto,Vandalismo al Tren,Cierre de Angulares
117,2016-10-02,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
118,2016-10-02,13,Hidalgo,13030,Ixmiquilpan,Vandalismo en Vía,Obstrucción de Vía
119,2016-10-02,26,Sonora,26030,Hermosillo,Vandalismo al Tren,Cierre de Angulares
120,2016-10-02,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
121,2016-10-02,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
122,2016-10-02,30,Veracruz de Ignacio de la Llave,30044,Córdoba,Vandalismo al Tren,Cierre de Angulares
123,2016-10-02,29,Tlaxcala,29005,Apizaco,Vandalismo al Tren,Cierre de Angulares
124,2016-10-02,13,Hidalgo,13017,Chapantongo,Vandalismo al Tren,Cierre de Angulares
125,2016-10-02,22,Querétaro,22014,Querétaro,Vandalismo al Tren,Cierre de Angulares
126,2016-10-02,30,Veracruz de Ignacio de la Llave,30173,Tezonapa,Vandalismo al Tren,Cierre de Angulares
127,2016-10-02,14,Jalisco,14030,Chapala,Vandalismo al Tren,Cierre de Angulares
128,2016-10-02,11,Guanajuato,11027,Salamanca,Vandalismo al Tren,Cierre de Angulares
129,2016-10-02,22,Querétaro,22007,Ezequiel Montes,Vandalismo en Vía,Manipulación de Señales
130,2016-10-02,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
131,2016-10-02,22,Querétaro,22011,El Marqués,Vandalismo al Tren,Cierre de Angulares
132,2016-10-02,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
133,2016-10-02,30,Veracruz de Ignacio de la Llave,30021,Atoyac,Vandalismo al Tren,Cierre de Angulares
134,2016-10-02,30,Veracruz de Ignacio de la Llave,30068,Fortín,Vandalismo al Tren,Cierre de Angulares
135,2016-10-02,22,Querétaro,22007,Ezequiel Montes,Vandalismo al Tren,Cierre de Angulares
136,2016-10-02,11,Guanajuato,11017,Irapuato,Vandalismo al Tren,Cierre de Angulares
